latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
26.32451,68.58812,313.53,1.29,1.13,2026-03-04,0427,T,52,6.1NRT,300.15,10.8,D
26.32373,68.24831,312.05,1.35,1.15,2026-03-04,0427,T,38,6.1NRT,301.44,8.72,D
26.2344,68.92491,314.56,1.23,1.1,2026-03-04,0427,T,55,6.1NRT,299.77,10.68,D
25.62557,68.55904,322.48,1.27,1.12,2026-03-04,0427,T,75,6.1NRT,299.67,22.29,D
25.57739,68.85276,326.97,1.22,1.1,2026-03-04,0427,T,79,6.1NRT,300.84,26.23,D
25.56774,68.85139,314.67,1.22,1.1,2026-03-04,0427,T,58,6.1NRT,300.57,10.16,D
25.57088,68.58272,313.82,1.26,1.12,2026-03-04,0427,T,57,6.1NRT,299.02,11.55,D
23.98399,76.02972,319.02,1.51,1.21,2026-03-04,0427,T,61,6.1NRT,307.64,14.21,D
25.0504,68.4962,311.9,1.26,1.12,2026-03-04,0427,T,47,6.1NRT,300.37,8.53,D
25.02495,68.54187,314.9,1.25,1.11,2026-03-04,0427,T,60,6.1NRT,299.91,11.74,D
25.00434,68.46501,310.86,1.26,1.12,2026-03-04,0427,T,27,6.1NRT,299.51,7.61,D
24.89497,68.09534,319.87,1.32,1.14,2026-03-04,0427,T,72,6.1NRT,300.12,19.42,D
24.89346,68.10806,310.18,1.32,1.14,2026-03-04,0427,T,38,6.1NRT,298.85,7.1,D
24.32674,68.40539,315.23,1.25,1.11,2026-03-04,0427,T,65,6.1NRT,301.2,9.78,D
24.31698,68.40403,312.57,1.25,1.11,2026-03-04,0427,T,53,6.1NRT,300.59,6.53,D
23.52,68.97191,322.32,1.15,1.07,2026-03-04,0427,T,74,6.1NRT,303.42,16.07,D
22.95688,72.54906,323.29,1.04,1.02,2026-03-04,0427,T,74,6.1NRT,306.95,13.7,D
23.02753,70.71606,316.04,1.01,1,2026-03-04,0427,T,31,6.1NRT,306.03,5.33,D
22.83715,70.90299,315.53,1,1,2026-03-04,0427,T,59,6.1NRT,302.07,5.69,D
22.09514,71.30161,320.08,1,1,2026-03-04,0427,T,67,6.1NRT,307.61,7.26,D
22.03392,70.83406,326.42,1,1,2026-03-04,0427,T,77,6.1NRT,305.88,16.18,D
